Timestamp,Event_Name,Department,Year,Rating,Comments,Suggestions,Attend_Again
2024-10-17,Cultural Night,IT,1st Year,1,Boring and unengaging.,More hands-on activities.,No
2024-12-06,Music Concert,CS,2nd Year,2,Very poorly organized.,Keep the hall cooler.,No
2024-11-11,Cultural Night,Mechanical,3rd Year,4,Great categorization and well managed.,"No suggestions, it was good.",Yes
2024-09-19,Cultural Night,IT,1st Year,2,The venue was too hot.,"No suggestions, it was good.",No
2024-09-10,Hackathon,Mechanical,3rd Year,4,Good but could be better.,Provide water bottles.,Yes
2024-02-13,Cultural Night,Electronics,4th Year,4,Great categorization and well managed.,Provide water bottles.,Yes
2024-05-21,Music Concert,IT,2nd Year,2,Boring and unengaging.,Start on time next time.,No
2024-03-17,Hackathon,Mechanical,3rd Year,5,Amazing event! learned a lot.,Provide water bottles.,Yes
2024-08-07,Music Concert,Management,2nd Year,3,Decent effort by the team.,Send slides after the event.,No
2024-12-10,AI Workshop,Management,2nd Year,2,Waste of time.,"No suggestions, it was good.",No
2024-11-23,Cultural Night,Mechanical,2nd Year,5,Really enjoyed the speakers.,Provide water bottles.,Yes
2024-04-17,AI Workshop,IT,1st Year,1,Waste of time.,More hands-on activities.,No
2024-08-21,Music Concert,Civil,3rd Year,2,Very poorly organized.,Start on time next time.,No
2024-07-16,Cultural Night,CS,4th Year,2,Boring and unengaging.,Start on time next time.,No
2024-12-18,Music Concert,Mechanical,2nd Year,4,Good but could be better.,More hands-on activities.,Yes
2024-08-17,AI Workshop,Management,4th Year,2,Boring and unengaging.,Better microphone needed.,No
2024-03-05,Career Fair,Mechanical,2nd Year,1,The venue was too hot.,Keep the hall cooler.,No
2024-10-22,AI Workshop,IT,1st Year,3,It was okay.,Keep the hall cooler.,No
2024-10-14,Tech Fest 2024,Management,4th Year,4,It was okay.,Invite more industry experts.,No
2024-12-27,Career Fair,Civil,3rd Year,1,Boring and unengaging.,Start on time next time.,No
2024-02-18,Tech Fest 2024,Electronics,2nd Year,1,The venue was too hot.,Better microphone needed.,No
2024-06-14,Cultural Night,Electronics,2nd Year,4,Really enjoyed the speakers.,Invite more industry experts.,Yes
2024-11-25,Cultural Night,Mechanical,3rd Year,2,Boring and unengaging.,Invite more industry experts.,No
2024-06-03,Career Fair,Civil,2nd Year,4,Great categorization and well managed.,Start on time next time.,Yes
2024-12-21,Cultural Night,Mechanical,3rd Year,2,Good but could be better.,Start on time next time.,No
2024-12-20,AI Workshop,Management,4th Year,2,Started very late.,Invite more industry experts.,No
2024-07-15,AI Workshop,IT,1st Year,3,Average experience.,Keep the hall cooler.,Yes
2024-05-28,AI Workshop,IT,4th Year,2,Good but could be better.,Provide water bottles.,Yes
2024-10-27,Career Fair,IT,1st Year,1,Waste of time.,Start on time next time.,No
2024-02-25,AI Workshop,Electronics,4th Year,5,Amazing event! learned a lot.,"No suggestions, it was good.",Yes
2024-07-09,Hackathon,Civil,1st Year,3,It was okay.,Start on time next time.,Yes
2024-04-28,Career Fair,CS,2nd Year,4,Great categorization and well managed.,Better microphone needed.,Yes
2024-05-19,Career Fair,Mechanical,4th Year,3,Average experience.,"No suggestions, it was good.",No
2024-04-16,Hackathon,Electronics,4th Year,1,Boring and unengaging.,"No suggestions, it was good.",No
2024-02-06,Music Concert,Management,3rd Year,4,Amazing event! learned a lot.,Start on time next time.,Yes
2024-01-20,Tech Fest 2024,IT,2nd Year,2,Average experience.,"No suggestions, it was good.",Yes
2024-08-21,Music Concert,Electronics,4th Year,3,It was okay.,Better microphone needed.,Yes
2024-02-18,Tech Fest 2024,Civil,1st Year,5,Best event of the year!,Better microphone needed.,Yes
2024-10-19,Career Fair,Civil,3rd Year,2,Decent effort by the team.,Better microphone needed.,Yes
2024-04-27,Cultural Night,Management,2nd Year,3,"Not bad, but timing was off.",Provide water bottles.,No
2024-02-24,Tech Fest 2024,Civil,4th Year,5,Great categorization and well managed.,Start on time next time.,Yes
2024-07-13,Cultural Night,Management,4th Year,4,The food was delicious!,Better microphone needed.,Yes
2024-02-05,Hackathon,Electronics,2nd Year,2,It was okay.,Provide water bottles.,No
2024-06-03,Music Concert,Electronics,4th Year,5,Best event of the year!,Invite more industry experts.,Yes
2024-04-09,AI Workshop,Civil,4th Year,4,Amazing event! learned a lot.,Send slides after the event.,Yes
2024-04-09,Career Fair,CS,4th Year,1,Boring and unengaging.,Start on time next time.,No
2024-05-07,Music Concert,IT,3rd Year,4,Everything was perfect.,Better microphone needed.,Yes
2024-02-27,Hackathon,Management,4th Year,3,Good but could be better.,Start on time next time.,Yes
2024-01-08,Career Fair,CS,2nd Year,2,Boring and unengaging.,Provide water bottles.,No
